OUTCOME_CONCEPT_ID,REACTION_NAME
35606910,Posterior capsule opacification
36211660,Graft loss
36313524,ALANINE AMINOTRANSFERASE INCREASED
36312552,TROPONIN T INCREASED
36316279,DRUG SCREEN NEGATIVE
35104692,Thrombocytopenia neonatal
35607197,OCULAR TOXICITY
36919184,ERECTION INCREASED
36314129,PO2 INCREASED
35808852,CATHETER SITE HAEMORRHAGE
37622439,BLOOD PRESSURE INADEQUATELY CONTROLLED
37320315,PILOERECTION
37622408,ISCHAEMIA
35104098,NEPHROGENIC ANAEMIA
36918897,SOCIAL FEAR
36718299,APRAXIA
36718512,COMPLEX PARTIAL SEIZURES
36416503,RESPIRATORY ALKALOSIS
35104075,ANAEMIA MACROCYTIC
35606991,OPEN ANGLE GLAUCOMA
35607399,CHOROIDAL NEOVASCULARISATION
36110489,EXTRADURAL ABSCESS
37220005,LARYNGEAL STENOSIS
37520605,BONE TRIMMING
35104191,BONE MARROW OEDEMA
36516960,PIRIFORMIS SYNDROME
35205380,PLEUROPERICARDITIS
35708559,LEUKOPLAKIA ORAL
36110665,IMPETIGO
36416592,POLYDIPSIA PSYCHOGENIC
36918910,BURNOUT SYNDROME
37320097,SKIN STRIAE
37119711,ENDOMETRIAL HYPERTROPHY
35607394,HORNER'S SYNDROME
35909530,NODULAR REGENERATIVE HYPERPLASIA
36211503,DELAYED RECOVERY FROM ANAESTHESIA
36617748,TESTIS CANCER
35104785,METASTASES TO SPLEEN
35205031,JUGULAR VEIN DISTENSION
36918987,"HALLUCINATION, OLFACTORY"
35205197,STRESS CARDIOMYOPATHY
36110023,BREAST CELLULITIS
36211581,COMPLICATION OF DEVICE INSERTION
36211433,OSTEORADIONECROSIS
36617475,BLADDER TRANSITIONAL CELL CARCINOMA
35809165,SERUM SICKNESS-LIKE REACTION
36918966,DISSOCIATIVE IDENTITY DISORDER
37019368,URETERIC DILATATION
37521638,OOPHORECTOMY BILATERAL
36919107,PSYCHIATRIC DECOMPENSATION
36617358,CEREBRAL HAEMANGIOMA
36211141,CHEMICAL INJURY
35305408,CONGENITAL AORTIC ANOMALY
36313864,TRYPTASE INCREASED
37520655,MENISCUS OPERATION
36416676,HYPERMETABOLISM
36313375,Lymphocyte morphology abnormal
36718328,Central nervous system necrosis
35305396,Congenital aortic stenosis
