DRUG_ID,REACTION_1,REACTION_2,N11,N10,N01,N00,odds_ratio,p_adj,significant
1151789,36110933,36718171,8,1746,179,112834,2.8882361599058024,0.011186024192620323,True
1151789,36110933,36516848,24,1730,848,112165,1.8349601919511398,0.006573256416034505,True
1151789,36110933,36312077,16,1738,387,112626,2.679155404501298,0.0009025543342860178,True
1151789,36110933,36314160,13,1741,276,112737,3.0500149838923156,0.0009196065377842084,True
1151789,36110933,36111047,12,1742,295,112718,2.6321119305687986,0.004259483705671056,True
1151789,36110933,37219953,8,1746,192,112821,2.692368270332188,0.01595082736411689,True
1151789,36110933,37219909,30,1724,574,112439,3.4087023129097713,8.820152119480299e-08,True
1151789,36110933,36516951,61,1693,2784,110229,1.426591110454814,0.008031202130171293,True
1151789,36110933,36918860,10,1744,317,112696,2.038462651578734,0.037134326005362324,True
1151789,36110933,37219964,5,1749,89,112924,3.6272412486107632,0.018927982009373234,True
1151789,36110933,36718211,6,1748,61,112952,6.35585399707394,0.0008876278131833388,True
1151789,36110933,36416514,22,1732,547,112466,2.6116123638912225,0.0001564619357485117,True
1151789,36110933,36313957,7,1747,129,112884,3.5062898523715074,0.006938079030675176,True
1151789,36110933,36718468,7,1747,187,112826,2.417534719565091,0.03723631111267876,True
1151789,36110933,36718414,7,1747,111,112902,4.075527158526586,0.003327247343179898,True
1151789,36110933,36516728,8,1746,174,112839,2.9713631156930127,0.009663370160641687,True
1151789,36110933,36516779,39,1715,1705,111308,1.4845761480126194,0.01705427441573647,True
1151789,36110933,37219907,163,1591,3054,109959,3.68874958478376,2.1518366415668445e-38,True
1151789,36110933,36918869,11,1743,86,112927,8.286948458284968,7.892355337364402e-07,True
1151789,36110933,37219959,33,1721,1103,111910,1.9454785769938097,0.0007046762774555101,True
1151789,36110933,36718132,110,1644,4883,108130,1.4816661210525817,0.0001840593655296675,True
1151789,36110933,37420510,10,1744,91,112922,7.115258594616392,8.008341639115447e-06,True
1151789,36110933,36314556,5,1749,114,112899,2.8311666817128587,0.04402583044212195,True
1151789,36110933,37320136,10,1744,318,112695,2.0320343603946687,0.03775862921983906,True
1151789,36110933,36718175,15,1739,505,112508,1.9216916516263471,0.019569979096614846,True
1151789,36110933,36718265,12,1742,428,112585,1.8120486710945631,0.04840557473268273,True
1151789,36110933,36315380,24,1730,833,112180,1.868252503313464,0.005401039489237334,True
1151789,36110933,36516837,19,1735,663,112350,1.8557252207023354,0.012986020357999941,True
1151789,36110933,37220014,10,1744,274,112739,2.35926722694703,0.016526431675853392,True
1151789,36110933,36315381,25,1729,813,112200,1.9954797581521218,0.002115927284653574,True
1151789,36110933,36211071,5,1749,113,112900,2.8562465530239782,0.042769640491778844,True
1151789,36110933,36211325,12,1742,257,112756,3.0223143486399193,0.0015246287615694255,True
1151789,36110933,37019456,12,1742,343,112670,2.2628057291474897,0.012168304814445698,True
1151789,36110933,36617553,5,1749,50,112963,6.458719268153231,0.002240815768014914,True
1151789,36110933,36313985,11,1743,127,112886,5.609596993146941,2.049194788914076e-05,True
1151789,36110933,36516781,28,1726,1187,111826,1.5283024577769404,0.028438863807956113,True
1151789,36110933,36918861,21,1733,528,112485,2.5815552378953996,0.00025052606279458566,True
1151789,36110933,36718287,10,1744,180,112833,3.594323394495413,0.0011575357902782587,True
1151789,36110933,37219946,32,1722,714,112299,2.9227691076430573,7.345024444238985e-07,True
1151789,36110933,37622460,9,1745,185,112828,3.1455184697591574,0.004483968547815926,True
1151789,36110933,37219942,12,1742,310,112703,2.5044183548757455,0.006067688606948104,True
1151789,36110933,36416551,6,1748,158,112855,2.4517350751672797,0.049236652969795174,True
1151789,36110933,37219944,7,1747,182,112831,2.4840605873805646,0.03319208717893008,True
1151789,36110933,36211102,7,1747,158,112855,2.8619948845398624,0.017840558422469815,True
1151789,36110933,36516761,20,1734,290,112723,4.483275663206459,2.694533248285871e-07,True
1151789,36110933,37622529,15,1739,562,112451,1.7259121391399728,0.04162594837045317,True
1151789,36110933,36211305,14,1740,378,112635,2.3975095785440614,0.00454348774421579,True
1151789,36110933,36718422,35,1719,413,112600,5.551118604628233,5.49327835975483e-14,True
1151789,36110933,37320079,5,1749,81,112932,3.9857696461470047,0.013541862837762738,True
1151789,36110933,36211462,5,1749,82,112931,3.937127836115411,0.014149799068027501,True
1151789,36110933,36416606,15,1739,263,112750,3.697877150672232,5.8512383357857365e-05,True
1151789,36110933,36516757,9,1745,116,112897,5.019627507163324,0.00023844904453050884,True
1151789,36110933,36516954,14,1740,342,112671,2.650725952813067,0.0020011886193960515,True
1151789,36110933,36919209,9,1745,222,112791,2.6204057926120963,0.012696020134609456,True
